description,nom_localisation,salarie_nombre,telephone
Edition de logiciels outils de développement et de langages,"ANKAMA STUDIO,ROUBAIX",100 à 199 salariés,0320363000
"Ingénierie, études techniques","ABYLSEN SIGMA,LILLE",250 à 499 salariés,0328363179
Conseil en systèmes et logiciels informatiques,"AVIF,VILLENEUVE-D-ASCQ",1 ou 2 salariés,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","INGRAM MICRO,LESQUIN",0 salarié,0825285285
Activités des agences de publicité,"ADREXO,PROUVY",250 à 499 salariés,http://www.adrexo.fr
Programmation informatique,"SYNODIA,LA-MADELEINE",20 à 49 salariés,0320988496
Conseil en systèmes et logiciels informatiques,"DECIDEOM,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"EID VERLINGHEM,VERLINGHEM",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ELOSI,VILLENEUVE-D-ASCQ",50 à 99 salariés,Modifier ces informations
Programmation informatique,"EURISIS SA,WASQUEHAL",10 à 19 salariés,0328333328
Programmation informatique,"EYESCREAM-YOUR INTERACTIVE SHERPA,LILLE",10 à 19 salariés,Modifier ces informations
Programmation informatique,"EURATECHNOLOGIES,LILLE",6 à 9 salariés,Modifier ces informations
Programmation informatique,"ONITEQ,CROIX",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ABYLSEN SIGMA,VALENCIENNES",0 salarié,Modifier ces informations
,,,
,,,
Commerce d'électricité,"ILLYADE,WASQUEHAL",20 à 49 salariés,0664787244
Gestion d'installations informatiques,"ECONOCOM INFOGERANCE SYSTEMES,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Enseignement supérieur,"ESC LILLE,LILLE",500 à 999 salariés,0320215962
Conseil en systèmes et logiciels informatiques,"CAPENSIS,WASQUEHAL",20 à 49 salariés,0359391340
Programmation informatique,"PERMETTEZ - MOI DE CONSTRUIRE,LILLE",0 salarié,https://www.permettezmoideconstruire.fr
Tierce maintenance de systèmes et d’applications informatiques,"LVB FIBRE,SAINT-ANDRE-LEZ-LILLE",1 ou 2 salariés,0682426847
Edition de logiciels outils de développement et de langages,"ANKAMA STUDIO,ROUBAIX",100 à 199 salariés,0320363000
"Ingénierie, études techniques","ABYLSEN SIGMA,LILLE",250 à 499 salariés,0328363179
Conseil en systèmes et logiciels informatiques,"AVIF,VILLENEUVE-D-ASCQ",1 ou 2 salariés,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","INGRAM MICRO,LESQUIN",0 salarié,0825285285
Activités des agences de publicité,"ADREXO,PROUVY",250 à 499 salariés,http://www.adrexo.fr
Programmation informatique,"SYNODIA,LA-MADELEINE",20 à 49 salariés,0320988496
Conseil en systèmes et logiciels informatiques,"DECIDEOM,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"EID VERLINGHEM,VERLINGHEM",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ELOSI,VILLENEUVE-D-ASCQ",50 à 99 salariés,Modifier ces informations
Programmation informatique,"EURISIS SA,WASQUEHAL",10 à 19 salariés,0328333328
Programmation informatique,"EYESCREAM-YOUR INTERACTIVE SHERPA,LILLE",10 à 19 salariés,Modifier ces informations
Programmation informatique,"EURATECHNOLOGIES,LILLE",6 à 9 salariés,Modifier ces informations
Programmation informatique,"ONITEQ,CROIX",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ABYLSEN SIGMA,VALENCIENNES",0 salarié,Modifier ces informations
,,,
,,,
Commerce d'électricité,"ILLYADE,WASQUEHAL",20 à 49 salariés,0664787244
Gestion d'installations informatiques,"ECONOCOM INFOGERANCE SYSTEMES,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Enseignement supérieur,"ESC LILLE,LILLE",500 à 999 salariés,0320215962
Conseil en systèmes et logiciels informatiques,"CAPENSIS,WASQUEHAL",20 à 49 salariés,0359391340
Programmation informatique,"PERMETTEZ - MOI DE CONSTRUIRE,LILLE",0 salarié,https://www.permettezmoideconstruire.fr
Tierce maintenance de systèmes et d’applications informatiques,"LVB FIBRE,SAINT-ANDRE-LEZ-LILLE",1 ou 2 salariés,0682426847
Edition de logiciels outils de développement et de langages,"ANKAMA STUDIO,ROUBAIX",100 à 199 salariés,0320363000
"Ingénierie, études techniques","ABYLSEN SIGMA,LILLE",250 à 499 salariés,0328363179
Conseil en systèmes et logiciels informatiques,"AVIF,VILLENEUVE-D-ASCQ",1 ou 2 salariés,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","INGRAM MICRO,LESQUIN",0 salarié,0825285285
Activités des agences de publicité,"ADREXO,PROUVY",250 à 499 salariés,http://www.adrexo.fr
Programmation informatique,"SYNODIA,LA-MADELEINE",20 à 49 salariés,0320988496
Conseil en systèmes et logiciels informatiques,"DECIDEOM,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"EID VERLINGHEM,VERLINGHEM",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ELOSI,VILLENEUVE-D-ASCQ",50 à 99 salariés,Modifier ces informations
Programmation informatique,"EURISIS SA,WASQUEHAL",10 à 19 salariés,0328333328
Programmation informatique,"EYESCREAM-YOUR INTERACTIVE SHERPA,LILLE",10 à 19 salariés,Modifier ces informations
Programmation informatique,"EURATECHNOLOGIES,LILLE",6 à 9 salariés,Modifier ces informations
Programmation informatique,"ONITEQ,CROIX",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ABYLSEN SIGMA,VALENCIENNES",0 salarié,Modifier ces informations
,,,
,,,
Commerce d'électricité,"ILLYADE,WASQUEHAL",20 à 49 salariés,0664787244
Gestion d'installations informatiques,"ECONOCOM INFOGERANCE SYSTEMES,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Enseignement supérieur,"ESC LILLE,LILLE",500 à 999 salariés,0320215962
Conseil en systèmes et logiciels informatiques,"CAPENSIS,WASQUEHAL",20 à 49 salariés,0359391340
Programmation informatique,"PERMETTEZ - MOI DE CONSTRUIRE,LILLE",0 salarié,https://www.permettezmoideconstruire.fr
Tierce maintenance de systèmes et d’applications informatiques,"LVB FIBRE,SAINT-ANDRE-LEZ-LILLE",1 ou 2 salariés,0682426847
Edition de logiciels outils de développement et de langages,"ANKAMA STUDIO,ROUBAIX",100 à 199 salariés,0320363000
"Ingénierie, études techniques","ABYLSEN SIGMA,LILLE",250 à 499 salariés,0328363179
Conseil en systèmes et logiciels informatiques,"AVIF,VILLENEUVE-D-ASCQ",1 ou 2 salariés,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","INGRAM MICRO,LESQUIN",0 salarié,0825285285
Activités des agences de publicité,"ADREXO,PROUVY",250 à 499 salariés,http://www.adrexo.fr
Programmation informatique,"SYNODIA,LA-MADELEINE",20 à 49 salariés,0320988496
Conseil en systèmes et logiciels informatiques,"DECIDEOM,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"EID VERLINGHEM,VERLINGHEM",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ELOSI,VILLENEUVE-D-ASCQ",50 à 99 salariés,Modifier ces informations
Programmation informatique,"EURISIS SA,WASQUEHAL",10 à 19 salariés,0328333328
Programmation informatique,"EYESCREAM-YOUR INTERACTIVE SHERPA,LILLE",10 à 19 salariés,Modifier ces informations
Programmation informatique,"EURATECHNOLOGIES,LILLE",6 à 9 salariés,Modifier ces informations
Programmation informatique,"ONITEQ,CROIX",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ABYLSEN SIGMA,VALENCIENNES",0 salarié,Modifier ces informations
,,,
,,,
Commerce d'électricité,"ILLYADE,WASQUEHAL",20 à 49 salariés,0664787244
Gestion d'installations informatiques,"ECONOCOM INFOGERANCE SYSTEMES,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Enseignement supérieur,"ESC LILLE,LILLE",500 à 999 salariés,0320215962
Conseil en systèmes et logiciels informatiques,"CAPENSIS,WASQUEHAL",20 à 49 salariés,0359391340
Programmation informatique,"PERMETTEZ - MOI DE CONSTRUIRE,LILLE",0 salarié,https://www.permettezmoideconstruire.fr
Tierce maintenance de systèmes et d’applications informatiques,"LVB FIBRE,SAINT-ANDRE-LEZ-LILLE",1 ou 2 salariés,0682426847
Edition de logiciels outils de développement et de langages,"ANKAMA STUDIO,ROUBAIX",100 à 199 salariés,0320363000
"Ingénierie, études techniques","ABYLSEN SIGMA,LILLE",250 à 499 salariés,0328363179
Conseil en systèmes et logiciels informatiques,"AVIF,VILLENEUVE-D-ASCQ",1 ou 2 salariés,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","INGRAM MICRO,LESQUIN",0 salarié,0825285285
Activités des agences de publicité,"ADREXO,PROUVY",250 à 499 salariés,http://www.adrexo.fr
Programmation informatique,"SYNODIA,LA-MADELEINE",20 à 49 salariés,0320988496
Conseil en systèmes et logiciels informatiques,"DECIDEOM,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"EID VERLINGHEM,VERLINGHEM",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ELOSI,VILLENEUVE-D-ASCQ",50 à 99 salariés,Modifier ces informations
Programmation informatique,"EURISIS SA,WASQUEHAL",10 à 19 salariés,0328333328
Programmation informatique,"EYESCREAM-YOUR INTERACTIVE SHERPA,LILLE",10 à 19 salariés,Modifier ces informations
Programmation informatique,"EURATECHNOLOGIES,LILLE",6 à 9 salariés,Modifier ces informations
Programmation informatique,"ONITEQ,CROIX",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ABYLSEN SIGMA,VALENCIENNES",0 salarié,Modifier ces informations
,,,
,,,
Commerce d'électricité,"ILLYADE,WASQUEHAL",20 à 49 salariés,0664787244
Gestion d'installations informatiques,"ECONOCOM INFOGERANCE SYSTEMES,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Enseignement supérieur,"ESC LILLE,LILLE",500 à 999 salariés,0320215962
Conseil en systèmes et logiciels informatiques,"CAPENSIS,WASQUEHAL",20 à 49 salariés,0359391340
Programmation informatique,"PERMETTEZ - MOI DE CONSTRUIRE,LILLE",0 salarié,https://www.permettezmoideconstruire.fr
Tierce maintenance de systèmes et d’applications informatiques,"LVB FIBRE,SAINT-ANDRE-LEZ-LILLE",1 ou 2 salariés,0682426847
Edition de logiciels outils de développement et de langages,"ANKAMA STUDIO,ROUBAIX",100 à 199 salariés,0320363000
"Ingénierie, études techniques","ABYLSEN SIGMA,LILLE",250 à 499 salariés,0328363179
Conseil en systèmes et logiciels informatiques,"AVIF,VILLENEUVE-D-ASCQ",1 ou 2 salariés,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","INGRAM MICRO,LESQUIN",0 salarié,0825285285
Activités des agences de publicité,"ADREXO,PROUVY",250 à 499 salariés,http://www.adrexo.fr
Programmation informatique,"SYNODIA,LA-MADELEINE",20 à 49 salariés,0320988496
Conseil en systèmes et logiciels informatiques,"DECIDEOM,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"EID VERLINGHEM,VERLINGHEM",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ELOSI,VILLENEUVE-D-ASCQ",50 à 99 salariés,Modifier ces informations
Programmation informatique,"EURISIS SA,WASQUEHAL",10 à 19 salariés,0328333328
Programmation informatique,"EYESCREAM-YOUR INTERACTIVE SHERPA,LILLE",10 à 19 salariés,Modifier ces informations
Programmation informatique,"EURATECHNOLOGIES,LILLE",6 à 9 salariés,Modifier ces informations
Programmation informatique,"ONITEQ,CROIX",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ABYLSEN SIGMA,VALENCIENNES",0 salarié,Modifier ces informations
,,,
,,,
Commerce d'électricité,"ILLYADE,WASQUEHAL",20 à 49 salariés,0664787244
Gestion d'installations informatiques,"ECONOCOM INFOGERANCE SYSTEMES,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Enseignement supérieur,"ESC LILLE,LILLE",500 à 999 salariés,0320215962
Conseil en systèmes et logiciels informatiques,"CAPENSIS,WASQUEHAL",20 à 49 salariés,0359391340
Programmation informatique,"PERMETTEZ - MOI DE CONSTRUIRE,LILLE",0 salarié,https://www.permettezmoideconstruire.fr
Tierce maintenance de systèmes et d’applications informatiques,"LVB FIBRE,SAINT-ANDRE-LEZ-LILLE",1 ou 2 salariés,0682426847
Edition de logiciels outils de développement et de langages,"ANKAMA STUDIO,ROUBAIX",100 à 199 salariés,0320363000
"Ingénierie, études techniques","ABYLSEN SIGMA,LILLE",250 à 499 salariés,0328363179
Conseil en systèmes et logiciels informatiques,"AVIF,VILLENEUVE-D-ASCQ",1 ou 2 salariés,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","INGRAM MICRO,LESQUIN",0 salarié,0825285285
Activités des agences de publicité,"ADREXO,PROUVY",250 à 499 salariés,http://www.adrexo.fr
Programmation informatique,"SYNODIA,LA-MADELEINE",20 à 49 salariés,0320988496
Conseil en systèmes et logiciels informatiques,"DECIDEOM,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"EID VERLINGHEM,VERLINGHEM",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ELOSI,VILLENEUVE-D-ASCQ",50 à 99 salariés,Modifier ces informations
Programmation informatique,"EURISIS SA,WASQUEHAL",10 à 19 salariés,0328333328
Programmation informatique,"EYESCREAM-YOUR INTERACTIVE SHERPA,LILLE",10 à 19 salariés,Modifier ces informations
Programmation informatique,"EURATECHNOLOGIES,LILLE",6 à 9 salariés,Modifier ces informations
Programmation informatique,"ONITEQ,CROIX",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ABYLSEN SIGMA,VALENCIENNES",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
